gene	condition	timepoint	log2FC	mean_control	mean_treated	t_stat	p_value	p_adj	regulation	neg_log10_padj
TP53	Drug_EC50	4h	0.33079210917155066	20.807600021362305	21.138392130533855	0.39517483119113284	0.7225688783973065	0.9194056433862329	NS	0.036492834842857015
MDM2	Drug_EC50	4h	-0.24128850301106652	25.891381581624348	25.65009307861328	-0.9058299983187255	0.41774130829286443	0.7856292926745794	NS	0.10478233198057745
MDM4	Drug_EC50	4h	1.1505190531412772	22.322711944580078	23.473230997721355	0.9218627798691726	0.45338526659694794	0.7856292926745794	NS	0.10478233198057745
CDKN1A	Drug_EC50	4h	3.547444025675457	25.88801383972168	29.435457865397137	1.1620834126559192	0.3640650161442418	0.7856292926745794	NS	0.10478233198057745
GADD45A	Drug_EC50	4h	0.06743748982747633	23.862864812215168	23.930302302042644	0.02373972799964645	0.9822072734163488	0.9994847525761928	NS	0.00022382678101352953
BBC3	Drug_EC50	4h	0.7723503112792969	25.138800303141277	25.911150614420574	0.16867838870473814	0.8742549728983646	0.9964877315760671	NS	0.0015280438191027576
PMAIP1	Drug_EC50	4h	-0.21294275919596473	22.777292887369793	22.564350128173828	-1.0762837972155566	0.3598696828636505	0.7856292926745794	NS	0.10478233198057745
BAX	Drug_EC50	4h	0.009129842122398202	25.25583012898763	25.264959971110027	0.03037979210648064	0.9772927603492167	0.9994847525761928	NS	0.00022382678101352953
CASP3	Drug_EC50	4h	0.28800455729166785	21.887744903564453	22.17574946085612	1.5799605476110825	0.21310827791577153	0.7856292926745794	NS	0.10478233198057745
TIGAR	Drug_EC50	4h	0.13117726643880445	23.735509236653645	23.86668650309245	0.5233428128831664	0.634039784701519	0.856692662294142	NS	0.06717495288298823
RRM2B	Drug_EC50	4h	-0.10052871704101562	24.34632619222005	24.245797475179035	-0.8603988147949099	0.47541826492398276	0.7856292926745794	NS	0.10478233198057745
TP53I3	Drug_EC50	4h	0.3360468546549491	22.65921147664388	22.995258331298828	1.7440434355495216	0.18498396518292884	0.7856292926745794	NS	0.10478233198057745
